index , Longitude, Latitude,hour,DBSCAN,HAC,K-Means,Satellite Number
175,233.0333837,7.011853707,4,0,3,0,23108
176,227.9520183,-11.68539072,15,0,3,0,39169
177,226.7173816,1.832706731,13,0,3,0,2654
178,159.7032608,-0.9035689,6,0,0,1,25354
179,199.0536794,4.885202103,12,0,3,1,36359
180,244.8757882,-0.016413061,15,0,3,0,37843
181,183.5790377,22.15534399,13,0,0,1,10637
182,225.6176736,1.973100524,11,0,3,0,2654
183,255.1601028,-9.035826488,15,0,3,0,4902
184,232.888447,9.001053665,5,0,3,0,23108
185,207.5141809,-2.973146999,5,0,3,1,21139
186,208.051897,-0.397535358,7,0,3,1,40896
187,188.794782,-0.496503646,7,0,0,1,39729
188,251.1427269,7.682917171,10,0,3,0,20122
189,197.2319452,13.54125853,12,0,3,1,16101
190,169.6352781,-2.165933767,5,0,0,1,27951
191,242.8398626,7.020466246,12,0,3,0,15824
192,163.7645659,8.136538037,9,0,0,1,15873
193,187.193539,12.77368551,8,0,0,1,17065
194,234.9936299,0.028263624,7,0,3,0,28790
195,252.9944401,11.79003529,9,0,3,0,8747
196,243.7327394,3.175694638,4,0,3,0,21940
197,156.0182495,0.049347624,14,0,0,1,35756
198,152.1000669,1.168453998,4,0,0,1,39256
199,239.5989003,-0.955950999,12,0,3,0,22266
200,226.1301407,-12.02258624,16,0,3,0,13983
201,244.2354879,13.24849425,4,0,3,0,14248
202,244.8884846,0.048494242,8,0,3,0,37843
203,245.075895,12.94240948,8,0,3,0,14248
204,230.8537083,-0.561863308,12,0,3,0,23716
205,248.774263,-9.156918758,15,0,3,0,20040
206,181.6212388,1.706681269,6,0,0,1,40990
207,203.1493174,0.004134596,7,0,3,1,25049
208,198.0642548,6.169129222,14,0,3,1,19931
209,198.162118,2.519070458,16,0,3,1,19919
210,198.2890588,10.1604067,8,0,3,1,19919
211,230.1367878,-0.385096404,11,0,3,0,858
212,249.0974094,8.716896209,11,0,3,0,28218
213,195.1646098,3.343564862,15,0,3,1,20391
214,176.7531239,2.225893019,15,0,0,1,37737
215,253.8640452,11.11280366,4,0,3,0,15677
216,182.7124744,-2.638110022,6,0,0,1,23915
217,226.0020174,0.858377216,10,0,3,0,3291
218,195.0001048,0.4000266,11,0,0,1,39173
219,245.1745214,9.11E-05,10,0,3,0,39035
220,183.9391197,6.648502424,4,0,0,1,12003
221,151.1248627,12.56377304,10,0,0,1,18634
222,221.1098172,-4.826125346,15,0,3,1,38700
223,162.0163622,-0.048963936,8,0,0,1,26095
224,219.6131087,13.52180528,6,0,3,1,10061
225,169.710859,-1.957359244,6,0,0,1,27951
226,190.1813635,8.386168724,13,0,0,1,11144
227,252.1094289,5.997152363,5,0,3,0,26738
228,214.1684586,10.93866082,12,0,3,1,21814
229,230.8049245,1.210098298,12,0,3,0,24315
230,183.033166,2.943512189,5,0,0,1,19090
231,247.6822512,-13.7683524,16,0,3,0,15574
232,250.1509982,15.59149405,6,0,3,0,20394
233,152.6280642,-4.487434331,7,0,0,1,25331
234,225.29772,-0.031329374,9,0,3,0,36411
235,159.9785971,0.783609323,14,0,0,1,37210
236,247.9293861,-0.148293654,16,0,3,0,41879
237,198.1171207,11.14964922,14,0,3,1,23775
238,168.9601472,15.01419016,11,0,0,1,15825
239,246.9563817,0.000770615,15,0,3,0,29162
240,236.5917603,-8.211363806,13,0,3,0,41894
241,198.2016238,4.009034727,15,0,3,1,15235
242,217.8348524,-8.453778969,15,0,3,1,11569
243,252.3221705,3.427757586,5,0,3,0,23846
244,243.1915832,0.008080841,13,0,3,0,39122
245,183.0642627,0.036713185,10,0,0,1,33749
246,253.9658096,1.050305295,8,0,3,0,4250
247,245.1807251,2.75E-05,14,0,3,0,39035
248,192.0646931,15.11420652,10,0,0,1,13083
249,253.1711339,8.19455527,5,0,3,0,41622
250,162.0094383,-0.027195783,10,0,0,1,26095
251,200.3850782,10.75828291,12,0,3,1,15219
252,222.5659522,12.06165688,7,0,3,1,23778
253,159.9822196,0.037717209,16,0,0,1,29495
254,222.935507,15.18253186,10,0,3,1,18877
255,170.4816908,13.11362877,14,0,0,1,15629
256,218.7522045,14.77962473,10,0,3,1,16482
257,152.1018588,1.642568147,5,0,0,1,39256
258,150.3919491,9.550402266,9,0,0,1,18634
259,160.0430473,0.229944685,10,0,0,1,37210
260,225.0204183,0.034925903,8,0,3,0,26495
261,256.7151679,-10.46708475,14,0,3,0,16497
262,163.4355397,5.173867989,12,0,0,1,26298
263,239.5220644,6.867247871,13,0,3,0,25900
264,250.7715094,0.387305072,15,0,3,0,25949
265,193.0942948,15.98677688,8,0,0,1,11144
266,202.3481143,11.63799809,5,0,3,1,34714
267,160.0479013,0.187106843,10,0,0,1,37210
268,169.8243241,9.21779252,12,0,0,1,6974
269,226.553572,9.421318368,7,0,3,0,20799
270,183.4017036,-3.241280981,16,0,0,1,13878
271,177.9927433,2.577322462,13,0,0,1,24674
272,179.5766718,0.048300409,12,0,0,1,40882
273,175.0531777,12.3199031,15,0,0,1,20402
274,222.7061752,14.79917722,8,0,3,1,20499
275,243.0510439,0.059982559,9,0,3,0,41589
276,195.8372641,3.21648664,8,0,0,1,22096
277,182.9282749,-0.022870272,6,0,0,1,38978
278,197.3010065,14.00692872,11,0,3,1,23775
279,243.3894531,0.844870093,12,0,3,0,14248
280,254.9873354,3.124780894,12,0,3,0,23696
281,159.027197,0.012693081,9,0,0,1,25924
282,226.2994886,8.059404075,8,0,3,0,20799
283,170.5364386,11.66232841,15,0,0,1,22984
284,217.8272523,-1.93118718,13,0,3,1,11862
285,190.5198168,4.479697036,5,0,0,1,17705
286,235.6764077,7.151672302,9,0,3,0,12545
287,239.2625855,15.37465304,9,0,3,0,19876
288,234.6937328,-3.934714443,13,0,3,0,11147
289,218.9881509,5.793862516,15,0,3,1,21726
290,170.9680558,14.96548302,11,0,0,1,20107
291,230.806797,1.236124662,13,0,3,0,24315
292,161.9853559,3.413129904,10,0,0,1,23413
293,205.9391762,13.86716469,12,0,3,1,23013
294,224.823191,0.036273337,12,0,3,0,39222
295,175.9223245,5.024256034,14,0,0,1,10855
296,252.6581886,-0.001887575,15,0,3,0,28868
297,224.5409564,0.755341769,16,0,3,0,38104
298,160.904815,-1.81911321,6,0,0,1,2652
299,229.7022676,13.53210171,5,0,3,0,7790
300,162.0324124,0.026616021,14,0,0,1,41729
301,172.744782,-0.977989351,4,0,0,1,15487
302,215.0779139,-8.298126395,16,0,3,1,17972
303,201.9473314,3.830889531,16,0,3,1,25897
304,173.5392457,12.96243227,11,0,0,1,23880
305,154.5134916,4.878605663,16,0,0,1,32387
306,252.3803927,-1.146332335,16,0,3,0,23846
307,237.9775055,8.156482687,10,0,3,0,16870
308,183.0542356,0.040230555,12,0,0,1,33749
309,175.0346244,-0.019902461,5,0,0,1,40746
310,245.0936695,-0.000110699,13,0,3,0,40425
311,174.4794812,-1.830092063,6,0,0,1,23880
312,162.0167891,0.0354717,10,0,0,1,41729
313,195.7370574,11.43539111,13,0,3,1,20391
314,254.3166438,-2.828153003,5,0,3,0,8747
315,205.6663944,8.420149848,7,0,3,1,23013
316,152.978061,-6.465420634,5,0,0,1,25331
317,221.0538371,-0.336573227,7,0,3,1,41544
318,149.6548616,12.80227115,11,0,0,1,19076
319,181.9823602,8.058252976,14,0,0,1,10975
320,205.6802685,2.336326107,4,0,3,1,16275
321,205.7508335,15.11529614,11,0,3,1,23013
322,235.0897264,-12.33890269,14,0,3,0,39169
323,251.2206249,10.06500924,7,0,3,0,26738
324,182.9288134,-0.023819997,5,0,0,1,38978
325,195.1207807,10.21510977,13,0,3,1,22096
326,238.9561532,0.012827792,16,0,3,0,27854
327,168.9771326,0.021957725,14,0,0,1,25371
328,212.8546302,5.192482149,10,0,3,1,23598
329,182.9224828,-0.003685616,10,0,0,1,38978
330,243.0187426,14.55305472,6,0,3,0,13643
331,162.6463782,-6.022521795,6,0,0,1,29516
332,239.0882765,8.770398058,10,0,3,0,23943
333,245.8834907,3.047196494,14,0,3,0,26936
334,231.8089135,2.017951682,14,0,3,0,2207
335,156.0374699,-0.037071248,4,0,0,1,35756
336,219.2945164,13.0000711,11,0,3,1,16482
337,171.3811127,7.08846889,13,0,0,1,25258
338,222.0911316,8.469334436,5,0,3,1,20499
339,222.6374396,12.140889,12,0,3,1,23778
340,225.1065257,9.799133616,7,0,3,0,24282
341,214.9431426,5.64683265,11,0,3,1,24931
342,254.2160365,-2.067389044,5,0,3,0,8747
343,219.234036,11.10565362,11,0,3,1,21726
344,166.0391558,-0.002717302,7,0,0,1,38356
345,170.6115253,12.34494847,9,0,0,1,6974
346,166.0301353,-0.054388436,4,0,0,1,38356
347,252.6968845,0.032559537,6,0,3,0,28868
348,190.4924866,11.31193212,3,0,0,1,10637
349,252.6980268,0.019523273,4,0,3,0,28868
350,156.0510032,-0.015073946,6,0,0,1,35756
351,240.9549486,0.027529334,3,0,3,0,28238
352,200.9205135,13.61775536,8,0,3,1,11684
353,240.2978062,12.20979097,3,0,3,0,15139
354,156.0622124,4.473847994,9,0,0,1,22248
355,249.8394161,12.42405352,6,0,3,0,5775
356,252.6805661,0.016860341,8,0,3,0,39127
357,219.4618604,-0.713592182,5,0,3,1,41544
358,203.6477123,-3.671530117,5,0,3,1,25049
359,230.8109656,1.1930699,14,0,3,0,24315
360,249.9088668,14.54702059,5,0,3,0,20394
361,219.5497537,-1.252184304,5,0,3,1,29642
362,158.195002,10.97528405,9,0,0,1,20083
363,207.8613111,0.976826434,13,0,3,1,40896
364,182.5800158,-1.368216246,12,0,0,1,40990
365,165.4946322,10.85099763,15,0,0,1,15873
366,245.1741043,6.84E-05,10,0,3,0,39035
367,248.9323712,0.031359583,5,0,3,0,28378
368,178.0020179,2.186302045,13,0,0,1,24674
369,255.576858,0.037963281,5,0,3,0,35491
370,235.9312913,13.25600177,9,0,3,0,21536
371,254.931966,0.017136491,11,0,3,0,28446
372,182.22755,-0.582402884,10,0,0,1,40990
373,219.2875009,8.161244764,8,0,3,1,21726
374,254.8527519,2.425938497,13,0,3,0,23426
375,249.9124588,14.59565051,5,0,3,0,20394
376,170.9672479,5.43262723,7,0,0,1,13269
377,190.5656252,15.35089051,7,0,0,1,13878
378,151.2477182,2.436739931,9,0,0,1,20918
379,210.4924922,11.2363804,6,0,3,1,20926
380,175.9124472,12.31210924,11,0,0,1,15487
381,252.6959477,0.036026031,6,0,3,0,28868
382,231.9688459,9.774641978,4,0,3,0,18631
383,218.6766865,2.485517641,9,0,3,1,38700
384,242.5505755,-13.31677969,17,0,3,0,15139
385,198.2196053,2.416279807,10,0,3,1,36359
386,237.0606318,0.029644789,5,0,3,0,32951
387,230.8397584,10.70526327,9,0,3,0,7790
388,176.5423916,-1.423793223,16,0,0,1,14160
389,243.2133613,12.05508446,10,0,3,0,15824
390,160.9586636,9.829268163,14,0,0,1,23413
391,177.3644323,3.236563088,4,0,0,1,17875
392,191.0818863,13.41132175,6,0,0,1,13878
393,176.9874312,-2.085958703,6,0,0,1,37737
394,240.131924,-2.618550438,11,0,3,0,25000
395,206.3550814,1.026996095,13,0,3,1,3292
396,243.8934826,0.038429942,12,0,3,0,39360
